model,seed,boundary,fraction,evaluation_set,n,accuracy,margin_mean,margin_std,positive_margin_rate
word_tfidf_bt,20260729,safe,0.2,external,372,0.5026881720430108,-0.07680826052736409,0.059981912404799304,0.08870967741935484
word_tfidf_bt,20260729,safe,0.4,target,512,0.5078125,-0.0675506188458488,0.07017869205345369,0.12890625
word_tfidf_bt,20260729,safe,0.4,clean_validation,512,0.447265625,-0.06298688464728489,0.07556099719228135,0.140625
word_tfidf_bt,20260729,safe,0.4,untouched_clean_test,512,0.484375,-0.06444019151103905,0.07349972503736998,0.1640625
word_tfidf_bt,20260729,safe,0.4,external,372,0.5188172043010753,-0.05733306263177345,0.09485175682418075,0.22849462365591397
word_tfidf_bt,20260729,safe,0.6,target,512,0.529296875,-0.012013441146388295,0.08612357199816974,0.423828125
word_tfidf_bt,20260729,safe,0.6,clean_validation,512,0.51171875,-0.00795631410428266,0.09044573192369915,0.447265625
word_tfidf_bt,20260729,safe,0.6,untouched_clean_test,512,0.478515625,-0.01029113643356294,0.09027687767814413,0.408203125
word_tfidf_bt,20260729,safe,0.6,external,372,0.543010752688172,0.0035487840398408196,0.11316996202164965,0.510752688172043
word_tfidf_bt,20260729,safe,0.8,target,512,0.517578125,-0.011606854551586093,0.10041588817519667,0.416015625
word_tfidf_bt,20260729,safe,0.8,clean_validation,512,0.505859375,-0.008507690282435882,0.10590993839159944,0.45703125
word_tfidf_bt,20260729,safe,0.8,untouched_clean_test,512,0.4609375,-0.010503781965210145,0.10748701016826671,0.39453125
word_tfidf_bt,20260729,safe,0.8,external,372,0.5403225806451613,0.0060284287125821345,0.13103295806827378,0.5134408602150538
word_tfidf_bt,20260729,safe,1.0,target,512,0.498046875,-0.029094693411655683,0.11871849962758008,0.349609375
word_tfidf_bt,20260729,safe,1.0,clean_validation,512,0.501953125,-0.024951146949920087,0.12257656678829308,0.37109375
word_tfidf_bt,20260729,safe,1.0,untouched_clean_test,512,0.458984375,-0.028431149550362314,0.12535727031796126,0.349609375
word_tfidf_bt,20260729,safe,1.0,external,372,0.5564516129032258,-0.011772815942512841,0.15378153248502902,0.4596774193548387
minilm_frozen_bt,20260727,naive,0.2,target,512,0.51171875,-0.11574738644593571,0.10207130860975624,0.08984375
minilm_frozen_bt,20260727,naive,0.2,clean_validation,512,0.46875,-0.11868059420360524,0.09907061411961211,0.091796875
minilm_frozen_bt,20260727,naive,0.2,untouched_clean_test,512,0.46875,-0.12018361659387618,0.10262912023776719,0.09765625
minilm_frozen_bt,20260727,naive,0.2,external,372,0.49731182795698925,-0.11513342465847128,0.14369608900298644,0.1532258064516129
minilm_frozen_bt,20260727,naive,0.4,target,512,0.515625,-0.06355488419674615,0.14843150181038323,0.28515625
minilm_frozen_bt,20260727,naive,0.4,clean_validation,512,0.47265625,-0.06876501558415998,0.14644241228040075,0.291015625
minilm_frozen_bt,20260727,naive,0.4,untouched_clean_test,512,0.49609375,-0.06831183442433236,0.16061992102438244,0.27734375
minilm_frozen_bt,20260727,naive,0.4,external,372,0.5026881720430108,-0.06024114872388048,0.21843920702999117,0.3467741935483871
minilm_frozen_bt,20260727,naive,0.6,target,512,0.5078125,-0.07114260575677936,0.18690823276674554,0.30859375
minilm_frozen_bt,20260727,naive,0.6,clean_validation,512,0.4609375,-0.07083170412870225,0.19691419710811292,0.310546875
minilm_frozen_bt,20260727,naive,0.6,untouched_clean_test,512,0.494140625,-0.07136079190288805,0.19918467958993263,0.298828125
minilm_frozen_bt,20260727,naive,0.6,external,372,0.489247311827957,-0.06724434421500818,0.28029180102088636,0.3763440860215054
minilm_frozen_bt,20260727,naive,0.8,target,512,0.501953125,-0.05492127685429742,0.20497914231696018,0.357421875
